shap,channel,term,event,band
0.30976641379171704,Fp1,final,eye_close,alpha
-0.06882559291998183,Fp2,final,eye_close,alpha
-0.06272823837764763,F3,final,eye_close,alpha
-0.053712961896074884,F4,final,eye_close,alpha
0.14292450830802853,C3,final,eye_close,alpha
0.3317689595936932,C4,final,eye_close,alpha
0.703744733865897,P3,final,eye_close,alpha
-0.013405825484254796,P4,final,eye_close,alpha
-0.01522416133571933,O1,final,eye_close,alpha
0.044249520347815915,O2,final,eye_close,alpha
-0.10705569214446538,F7,final,eye_close,alpha
-0.09003514471213749,F8,final,eye_close,alpha
0.06782717089494178,T7,final,eye_close,alpha
-0.0989289969226677,T8,final,eye_close,alpha
0.03250731632353226,P7,final,eye_close,alpha
-0.06802462630274259,P8,final,eye_close,alpha
-0.09526263934647623,Fz,final,eye_close,alpha
-0.09795239996730765,Cz,final,eye_close,alpha
0.3694091802170256,Pz,final,eye_close,alpha
-0.14285005549855906,FC1,final,eye_close,alpha
-0.08499537163907352,FC2,final,eye_close,alpha
0.002410594401682662,CP1,final,eye_close,alpha
0.15002318089689864,CP2,final,eye_close,alpha
0.020544726555044256,FC5,final,eye_close,alpha
-0.05346482558142678,FC6,final,eye_close,alpha
1.4226757569523591,CP5,final,eye_close,alpha
-0.0485957581548257,CP6,final,eye_close,alpha
0.8192913325419309,FT9,final,eye_close,alpha
0.10450532664467672,FT10,final,eye_close,alpha
0.05118627727970776,TP9,final,eye_close,alpha
-0.004682617017548607,TP10,final,eye_close,alpha
0.04748984681416326,Fp1,final,eye_close,alpha
0.11567789895789453,Fp2,final,eye_close,alpha
-0.09030145396363604,F3,final,eye_close,alpha
-0.08631387159608656,F4,final,eye_close,alpha
-0.012198061134036134,C3,final,eye_close,alpha
0.3184404008564592,C4,final,eye_close,alpha
-0.024238936086951407,P3,final,eye_close,alpha
-0.03168166191930596,P4,final,eye_close,alpha
-0.00018328445400385583,O1,final,eye_close,alpha
-0.08086231119352458,O2,final,eye_close,alpha
-0.09647628999744753,F7,final,eye_close,alpha
-0.11438663771875578,F8,final,eye_close,alpha
0.04040112970572523,T7,final,eye_close,alpha
0.41754038040261526,T8,final,eye_close,alpha
